ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
TQQQ,Long,PULLBACK,T1-STRONG_LONG,76,77.84,74.6415,84.237,84.045,2.0,3.1985,84.56,7.9,WAITING,1,1,1d,77.84,76.95,HIGHWAY,EXCITED,6671269164.0,1.0,0.9,2727720.0,0.0,10.8,49.0,8.0,,UNKNOWN,,84.045,83.68,84.41,0.9,PREMIUM,DISCOUNT,5638,14,4118,99.9,A,,,,False,3.414371428571428,0.94,N/A,
SOXL,Long,PULLBACK,T1-STRONG_LONG,89,209.89,187.96,253.75,228.225,2.0,21.93,224.34,6.4,APPROACH,1,1,1d,209.89,195.27,HIGHWAY,EXCITED,76803176263.0,0.6,0.9,2840941.0,0.0,32.4,56.0,8.0,,UNKNOWN,,228.225,224.63,231.82,3.2,DISCOUNT,DISCOUNT,28375,23,17054,99.9,A,,,,False,24.008585714285715,0.91,N/A,
ALP,Long,BOUNCE,T2-LONG,58,0.379,0.3162,0.5046,0.4158,2.0,0.0628,0.379,2.7,CLOSE,1,1,10m,0.3689,0.3662,OPEN_ROAD,EXCITED,0.0,0.4,0.9,2273384.0,0.0,66.4,27.0,8.0,7.74,LOW,2.2,0.4158,0.4398,0.3918,-10.9,DISCOUNT,DISCOUNT,46,5,0,4.5,C,,,,False,0.07959285714285715,0.79,N/A,
BB,Long,BREAKOUT,T3-LONG_WATCH,97,9.0278,8.5166,10.0502,,2.0,0.5112,9.0,0.0,INSIDE,2,2,,,,HIGHWAY,EXCITED,,,,,,,,,,MEGA,0.08,8.935,8.78,9.09,3.5,PREMIUM,MID,380,15,185,99.9,A,False,1.3,True,True,0.5620285714285712,0.91,N/A,
BBAI,Long,PULLBACK,T2-LONG,83,5.04,4.6367,5.8466,,2.0,0.4033,5.04,5.0,APPROACH,2,2,"10m,5m",4.7898,4.7801,HIGHWAY,EXCITED,3697617.0,2.2,1.6,3056669.0,1.0,26.9,28.0,8.0,475.27,MEGA,0.22,5.01,4.94,5.08,2.8,PREMIUM,DISCOUNT,138,8,79,7.3,B,,,,True,0.34534999999999993,1.17,N/A,
CXAI,Long,PULLBACK,T3-LONG_WATCH,73,0.2075,0.1496,0.3233,,2.0,0.0579,0.2075,3.6,APPROACH,2,2,"15m,1m",0.2,0.1996,OPEN_ROAD,EXCITED,0.0,2.3,1.2,27611705.0,2.0,47.7,17.0,8.0,62.88,HIGH,0.66,0.1711,0.1709,0.1714,0.3,FLAT,FLAT,0,6,0,3.4,D,,,,False,0.03150000000000001,1.84,N/A,
DVLT,Long,BOUNCE,T2-LONG,47,0.5,0.4481,0.6038,0.5135,2.0,0.0519,0.5,0.1,CLOSE,1,1,1m,0.4993,0.4981,OPEN_ROAD,EXCITED,0.0,0.7,0.5,2869706.0,0.0,31.8,34.0,8.0,430.47,MEGA,0.11,0.5135,0.4971,0.53,6.6,DISCOUNT,DISCOUNT,7,6,1,5.1,D,,,,False,0.053414285714285706,0.97,N/A,
GNTA,Long,PULLBACK,T2-LONG,100,1.03,0.845,1.4,,2.0,0.185,1.03,4.6,APPROACH,4,3,"15m,1d,1m",0.983,0.895,OPEN_ROAD,EXCITED,11303124.0,1.5,6.1,41125474.0,2.0,116.4,35.0,8.0,13.87,LOW,0.06,0.939,0.895,0.983,9.8,PREMIUM,MID,54,8,21,5.8,C,,,,True,0.11732857142857142,1.58,N/A,
GPUS,Long,PULLBACK,T2-LONG,70,0.1742,0.1236,0.2754,0.1859,2.0,0.0506,0.19,8.3,WAITING,2,2,"15m,30m",0.1742,0.1736,OPEN_ROAD,EXCITED,0.0,1.5,1.5,3598448.0,2.0,36.4,35.0,8.0,460.71,MEGA,0.14,0.1859,0.1852,0.1865,0.7,PREMIUM,DISCOUNT,3,9,3,2.3,D,,,,False,0.018935714285714285,2.67,N/A,
HPE,Long,BOUNCE,T1-STRONG_LONG,100,43.04,36.815,55.49,,2.0,6.225,43.04,2.7,CLOSE,4,4,"10m,15m,30m,5m",41.87,38.5,HIGHWAY,EXCITED,4249119180.0,4.2,2.1,1853597.0,1.0,29.2,51.0,8.0,1320.94,MEGA,0.07,40.495,38.21,42.78,12.0,PREMIUM,MID,3259,16,1749,99.9,A,,,,False,2.013521428571429,3.09,N/A,
HUBC,Long,BREAKOUT,T2-LONG,100,0.3189,0.016,0.9247,,2.0,0.3029,0.2611,0.0,INSIDE,4,4,,,,OPEN_ROAD,EXCITED,,,,,,,,,,NANO,645317.31,0.249,0.11,0.388,252.7,MID,MID,14,2,11,8.3,D,False,12.3,True,False,0.07868571428571429,3.85,N/A,
IBM,Long,PULLBACK,T1-STRONG_LONG,98,273.33,256.3584,307.2732,,2.0,16.9716,297.8,8.2,WAITING,5,5,"10m,15m,1d,30m,5m",273.33,264.287,HIGHWAY,EXCITED,18557427860.0,3.1,1.8,2590515.0,2.0,22.6,28.0,8.0,937.9,MEGA,0.03,270.76,264.22,277.3,5.0,PREMIUM,MID,16813,4,13864,99.9,A,,,,False,11.099278571428572,1.53,N/A,
IREN,Long,BOUNCE,T2-LONG,81,63.54,57.9866,74.6468,64.375,2.0,5.5534,63.54,2.7,CLOSE,1,1,1d,61.83,59.78,OPEN_ROAD,EXCITED,17502385581.0,0.9,1.1,1161295.0,0.0,22.6,41.0,8.0,327.86,MEGA,0.15,64.375,64.05,64.7,1.0,DISCOUNT,DISCOUNT,3016,16,1347,5.1,B,,,,False,5.258485714285716,1.06,N/A,
MSFT,Long,PULLBACK,T1-STRONG_LONG,97,450.24,414.6265,521.467,,2.0,35.6135,450.24,4.0,APPROACH,5,5,"10m,15m,1d,30m,5m",432.36,427.45,OPEN_ROAD,EXCITED,32961856726.0,2.3,1.5,2305117.0,1.0,9.9,28.0,8.0,7417.44,MEGA,0.01,429.7675,426.99,432.545,1.3,PREMIUM,MID,10174,6,4894,8.9,A,,,,False,11.678564285714284,3.05,N/A,
NAMM,Long,BOUNCE,T2-LONG,100,1.52,1.365,1.83,,2.0,0.155,1.52,1.3,CLOSE,17,6,"10m,1h,1m,30m,4h,5m",1.5,1.415,OPEN_ROAD,EXCITED,246047.0,10.7,3.8,13677899.0,1.0,22.6,72.0,8.0,7.06,LOW,1.2,1.45,1.45,1.45,0.0,FLAT,FLAT,21,3,14,8.2,D,,,,True,0.11722142857142852,1.32,N/A,
NOW,Long,PULLBACK,T1-STRONG_LONG,100,124.37,105.06,162.99,,2.0,19.31,124.37,3.6,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",119.88,110.0,OPEN_ROAD,EXCITED,95781496272.0,2.2,1.5,2929802.0,1.0,26.6,40.0,8.0,1028.33,MEGA,0.07,113.605,108.73,118.48,9.0,PREMIUM,MID,11877,5,6083,10.5,A,,,,False,6.762107142857142,2.86,N/A,
