ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
LNAI,Long,PULLBACK,T2-LONG,100,2.57,2.4541,2.825,2.635,2.2,0.1159,2.845,9.7,WAITING,2,2,"1m,5m",2.57,2.53,HIGHWAY,EXCITED,14232.0,17.7,6.0,13398809.0,1.0,29.8,72.0,8.0,3.35,NANO,5.77,2.635,2.61,2.66,1.9,PREMIUM,DISCOUNT,226,11,76,3.5,C,,,,True,0.3238785714285715,0.36,N/A,
NIVF,Long,PULLBACK,T2-LONG,100,0.6647,0.53,0.9341,0.6747,2.0,0.1347,0.7,5.0,APPROACH,3,2,"30m,5m",0.6647,0.58,OPEN_ROAD,EXCITED,106293443.0,8.6,2.9,37436507.0,1.0,118.4,60.0,8.0,0.45,NANO,234.08,0.6747,0.5813,0.7682,32.2,MID,DISCOUNT,27,7,13,7.3,D,,,,False,0.16947142857142852,0.79,N/A,
CRE,Long,PULLBACK,T1-STRONG_LONG,100,3.06,2.8518,3.6,,2.6,0.2082,3.27,6.4,APPROACH,2,2,"1d,30m",3.06,2.94,HIGHWAY,EXCITED,7898072.0,13.6,4.7,6582536.0,1.0,157.1,66.0,8.0,1.1,NANO,20.78,3.68,3.15,4.21,33.7,DISCOUNT,DISCOUNT,280,6,110,10.1,A,,,,True,0.7912642857142858,0.26,N/A,
CREG,Long,BOUNCE,T1-STRONG_LONG,100,2.07,1.835,2.54,,2.0,0.235,2.07,1.9,CLOSE,14,5,"10m,1h,1m,4h,5m",2.03,1.9,OPEN_ROAD,EXCITED,477566.0,4.6,1.7,4114076.0,1.0,27.5,64.0,8.0,2.26,NANO,1.88,2.01,1.92,2.1,9.4,PREMIUM,DISCOUNT,33,3,6,2.4,C,,,,True,0.502,0.47,N/A,
OTLK,Long,PULLBACK,T2-LONG,82,1.49,1.4214,1.6272,,2.0,0.0686,1.57,5.1,APPROACH,3,3,"10m,4h,5m",1.49,1.4714,HIGHWAY,EXCITED,0.0,1.0,0.8,1347442.0,0.0,126.0,68.0,8.0,96.4,HIGH,0.44,1.18,1.16,1.2,3.4,PREMIUM,PREMIUM,169,25,84,3.2,C,,,,True,0.1820142857142857,0.38,N/A,
INTC,Long,PULLBACK,T1-STRONG_LONG,100,117.05,103.8,143.55,126.4825,2.0,13.25,117.05,3.0,APPROACH,3,3,"1d,1h,4h",113.52,107.04,OPEN_ROAD,EXCITED,140488012766.0,1.0,1.1,1857415.0,0.0,26.4,56.0,8.0,5016.6,MEGA,0.03,126.4825,127.86,125.105,-2.2,DISCOUNT,DISCOUNT,14170,24,4252,3.0,C,,,,False,10.196278571428573,1.3,N/A,
SRXH,Long,PULLBACK,T3-LONG_WATCH,41,0.19,0.1332,0.3036,,2.0,0.0568,0.19,3.3,APPROACH,1,1,10m,0.1837,0.1832,OPEN_ROAD,EXCITED,0.0,3.5,2.8,6416867.0,3.0,76.5,22.0,8.0,549.21,MEGA,0.35,0.1566,0.157,0.1562,-0.5,PREMIUM,PREMIUM,0,10,0,2.9,D,,,,False,0.017671428571428574,3.21,N/A,
SMR,Long,BOUNCE,T2-LONG,56,9.89,9.2829,11.1042,10.5675,2.0,0.6071,9.89,1.0,CLOSE,1,1,1d,9.795,9.57,HIGHWAY,EXCITED,800132495.0,0.9,0.9,1718271.0,0.0,23.4,16.0,8.0,339.31,MEGA,0.09,10.5675,10.64,10.495,-1.4,DISCOUNT,DISCOUNT,22,1,22,6.1,D,,,,True,1.1999285714285715,0.51,N/A,
SPCX,Long,BOUNCE,T1-STRONG_LONG,100,201.8,187.21,230.98,,2.0,14.59,201.8,0.9,CLOSE,5,5,"10m,15m,1d,30m,5m",199.98,193.0,HIGHWAY,EXCITED,155181570753.0,5.9,6.7,6843260.0,3.0,929.1,23.0,8.0,246.06,MEGA,1.31,196.505,192.5,200.51,4.2,PREMIUM,MID,46645,4,41669,99.9,A,,,,False,,,N/A,
SYRE,Long,BOUNCE,T3-LONG_WATCH,96,83.41,78.3663,93.4974,,2.0,5.0437,83.41,2.2,CLOSE,2,2,"1d,30m",81.57,80.79,HIGHWAY,EXCITED,66091012.0,1.3,1.1,0.0,0.0,13.6,43.0,8.0,80.94,HIGH,0.02,83.56,83.58,83.54,-0.0,FLAT,FLAT,5879,14,2603,99.9,A,,,,False,4.596778571428572,1.1,N/A,
