ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
RPD,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,10.96,daily,log_regression,AT_LOWER,0.186,12,9.65,9.98,weekly,8.94,99.42,nearest_support_gap_hi,10.67,True,True,2.65,2.72,34.99,34.99,2.46,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high | coiled/controlled short-term momentum",early_trigger_not_chase | overhead_gap_too_close
CRVS,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,14.25,daily,log_regression,AT_LOWER,0.225,8,8.05,13.51,weekly,5.19,100.0,nearest_support_gap_hi,13.8729,True,True,2.65,2.72,18.25,18.25,2.25,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 18.25% from recent high | just-triggered reclaim, still near shelf | room back to recent high",early_trigger_not_chase | overhead_gap_too_close
AMPL,EARLY_STRUCTURAL_MATCH,100.0,100.0,100.0,TOO_EARLY_OR_LOOSE,13.03,1h,log_regression,AT_LOWER,0.092,10,8.88,9.16,weekly,29.7,100.0,nearest_support_gap_hi,12.79,True,True,1.84,1.88,13.28,13.28,3.15,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.28% from recent high | room back to recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
CEG,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,298.75,daily,log_regression,AT_UPPER,0.789,28,252.39,255.418,weekly,14.5,97.67,nearest_support_gap_hi,298.669,True,False,0.03,0.03,10.06,10.06,7.93,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 10.06% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,mid_high_channel_location
ACRS,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,6.05,daily,log_regression,MID,0.388,12,4.5,4.55,weekly,24.79,96.49,nearest_support_gap_hi,6.0,True,True,0.83,0.83,9.09,9.09,6.12,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 9.09% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
DHR,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,207.66,daily,log_regression,MID,0.443,14,194.98,197.34,weekly,4.97,98.88,nearest_support_gap_hi,203.1,True,True,2.2,2.25,6.27,6.27,2.79,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 6.27% from recent high | just-triggered reclaim, still near shelf | coiled/controlled short-term momentum",early_trigger_not_chase
COHR,HIGH_PRIORITY_PRE_TRIGGER,100.0,99.0,99.0,PRE_TRIGGER_COIL,281.97,daily,log_regression,OUTSIDE_DOWN,-0.031,14,279.2,280.25,weekly,0.61,92.98,nearest_support_gap_hi,281.94,True,False,0.01,0.01,56.04,56.04,2.2,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback | overhead_gap_too_close
SCSC,HIGH_PRIORITY_PRE_TRIGGER,100.0,96.0,96.0,PRE_TRIGGER_COIL,57.75,daily,log_regression,MID,0.455,31,52.49,56.39,daily,2.35,100.0,nearest_support_gap_hi,57.58,True,False,0.29,0.3,15.64,15.64,3.0,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 15.64% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
BMNR,EARLY_STRUCTURAL_MATCH,100.0,74.0,74.0,TOO_EARLY_OR_LOOSE,24.96,daily,log_regression,MID,0.537,11,16.015,16.705,weekly,33.07,96.04,nearest_support_gap_hi,23.96,True,False,4.01,4.17,7.81,7.81,3.37,MIXED_OR_WEAK,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 7.81% from recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
OOMA,EARLY_STRUCTURAL_MATCH,92.5,65.0,65.0,TOO_EARLY_OR_LOOSE,23.4,daily,log_regression,AT_UPPER,0.683,21,20.53,22.5,daily,3.85,100.0,nearest_support_gap_hi,22.74,True,True,2.82,2.9,11.92,11.92,2.01,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 11.92% from recent high | room back to recent high | coiled/controlled short-term momentum,mid_high_channel_location | too_early_or_loose_for_trigger | overhead_gap_too_close
