ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
QTEX,Long,PULLBACK,T2-LONG,72,1.285,1.2301,1.4802,,3.6,0.0549,1.41,8.9,WAITING,1,1,30m,1.285,1.2801,HIGHWAY,EXCITED,0.0,0.3,0.2,15452490.0,0.0,152.4,51.0,8.0,33.22,MED,0.95,1.5875,1.42,1.755,23.6,DISCOUNT,DISCOUNT,337,12,83,5.0,B,,,,True,0.7649307692307693,0.07,N/A,
NCRA,Long,BOUNCE,T2-LONG,100,0.13,0.0774,0.2352,0.1941,2.0,0.0526,0.13,1.2,CLOSE,2,2,"1m,5m",0.1285,0.1274,OPEN_ROAD,EXCITED,0.0,9.5,3.2,125577490.0,1.0,91.5,35.0,8.0,6.32,LOW,42.94,0.1941,0.1601,0.2282,42.5,DISCOUNT,DISCOUNT,0,1,0,9.4,D,,,,False,0.06359285714285716,0.83,N/A,
WOK,Long,BOUNCE,T2-LONG,100,0.1001,0.0378,0.2247,,2.0,0.0623,0.1001,2.1,CLOSE,3,3,"1h,1m,4h",0.098,0.0878,OPEN_ROAD,EXCITED,101264245.0,2.3,1.1,132889372.0,1.0,55.2,59.0,8.0,0.89,NANO,360.3,0.0948,0.087,0.1027,18.0,PREMIUM,MID,2,2,0,3.5,D,,,,False,0.04221428571428571,1.48,N/A,
TOON,Long,BOUNCE,T2-LONG,100,0.7288,0.65,0.8864,,2.0,0.0788,0.7288,0.3,CLOSE,8,7,"10m,15m,1h,1m,30m,4h,5m",0.7264,0.7,HIGHWAY,EXCITED,268350.0,13.4,4.6,4832028.0,1.0,7.2,31.0,8.0,51.07,HIGH,0.33,0.7283,0.7344,0.7221,-1.7,MID,DISCOUNT,12,4,7,99.9,D,,,,False,0.04075714285714286,1.93,N/A,
MRVL,Long,BOUNCE,T1-STRONG_LONG,96,288.85,259.835,346.88,,2.0,29.015,288.85,1.5,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",284.6,268.09,OPEN_ROAD,EXCITED,113466286486.0,1.8,1.8,1550265.0,2.0,28.4,64.0,8.0,871.96,MEGA,0.1,276.08,263.47,288.69,9.6,PREMIUM,MID,50271,19,25557,3.7,C,,,,False,28.034485714285704,1.03,N/A,
NOK,Long,BOUNCE,T1-STRONG_LONG,100,14.59,13.9583,15.8534,14.62,2.0,0.6317,14.59,0.6,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",14.5,14.39,OPEN_ROAD,EXCITED,857784980.0,0.8,1.1,4341716.0,0.0,24.6,58.0,8.0,4441.96,MEGA,0.02,14.62,14.38,14.86,3.3,MID,DISCOUNT,623,22,299,5.9,B,,,,True,1.1075000000000002,0.57,N/A,
SCAG,Long,PULLBACK,T2-LONG,100,0.3575,0.2967,0.4791,,2.0,0.0608,0.3934,9.1,WAITING,3,2,"1m,30m",0.3575,0.3467,OPEN_ROAD,EXCITED,22500.0,2.3,6.6,6969706.0,2.0,321.9,68.0,8.0,28.62,MED,0.47,0.6704,0.8431,0.4978,-41.0,DISCOUNT,DISCOUNT,7,7,4,22.0,D,,,,False,0.16669285714285714,0.36,N/A,
NVDA,Long,BOUNCE,T1-STRONG_LONG,100,208.64,199.3253,227.2694,,2.0,9.3147,208.64,0.2,CLOSE,4,4,"10m,15m,30m,5m",208.2,205.49,OPEN_ROAD,EXCITED,9710441113.0,0.8,1.0,1969188.0,0.0,13.7,40.0,8.0,23225.47,MEGA,0.01,207.64,205.1,210.18,2.5,PREMIUM,DISCOUNT,4846,9,3964,3.0,C,,,,False,8.176707142857143,1.14,N/A,
GPUS,Long,BREAKOUT,T2-LONG,72,0.1855,0.1235,0.3095,,2.0,0.062,0.1802,0.0,INSIDE,4,4,,,,OPEN_ROAD,EXCITED,,,,,,,,,,MEGA,0.17,0.1715,0.151,0.1921,27.2,PREMIUM,PREMIUM,3,7,1,3.7,D,False,1.3,True,False,0.02731428571428571,2.27,N/A,
HKIT,Long,PULLBACK,T3-LONG_WATCH,74,0.284,0.2265,0.399,,2.0,0.0575,0.3147,9.8,WAITING,2,1,1m,0.284,0.2765,OPEN_ROAD,EXCITED,0.0,6.7,3.7,2095298.0,2.0,695.7,31.0,8.0,0.79,NANO,133.89,0.2811,0.2811,0.281,-0.0,FLAT,FLAT,0,2,0,2.6,D,,,,False,1.1867142857142858,0.05,N/A,
CALY,Long,PULLBACK,T2-LONG,87,15.64,14.356,18.208,,2.0,1.284,15.64,4.5,APPROACH,3,3,"1h,30m,4h",14.94,14.8,OPEN_ROAD,EXCITED,6818060.0,1.3,0.8,0.0,0.0,8.9,12.0,8.0,155.91,HIGH,0.02,14.85,14.8,14.9,0.7,PREMIUM,PREMIUM,150,4,46,8.9,B,,,,True,0.6366857142857142,2.02,N/A,
CLYM,Long,BREAKOUT,T3-LONG_WATCH,90,11.01,10.3111,12.4078,,2.0,0.6989,10.77,0.0,INSIDE,2,2,,,,OPEN_ROAD,EXCITED,,,,,,,,,,MED,0.08,10.8,10.55,11.05,4.7,MID,MID,322,13,161,5.0,B,False,2.4,True,True,0.9556999999999997,0.73,N/A,
