ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
GTE,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,9.01,daily,log_regression,MID,0.476,14,6.92,8.19,1h,9.1,98.98,nearest_support_gap_hi,9.0,True,False,0.11,0.11,27.9,27.9,2.0,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,overhead_gap_too_close
KLIC,HIGH_PRIORITY_PRE_TRIGGER,100.0,97.0,97.0,PRE_TRIGGER_COIL,99.59,daily,log_regression,AT_LOWER,0.236,46,91.31,92.64,weekly,6.98,99.01,nearest_support_gap_hi,99.5,True,False,0.09,0.09,36.36,36.36,2.17,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | overhead_gap_too_close | early_positive_momentum
PPTA,HIGH_PRIORITY_PRE_TRIGGER,100.0,94.0,94.0,PRE_TRIGGER_COIL,24.67,weekly,log_regression,AT_LOWER,0.163,34,22.83,24.47,daily,0.81,98.83,nearest_support_gap_hi,24.65,True,False,0.08,0.08,38.43,38.43,2.31,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | overhead_gap_too_close
CHYM,HIGH_PRIORITY_PRE_TRIGGER,100.0,91.0,91.0,PRE_TRIGGER_COIL,31.9,1h,log_regression,MID,0.5,37,25.92,28.3,daily,11.29,100.0,nearest_support_gap_hi,31.66,True,True,0.75,0.76,4.73,4.73,3.45,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | coiled/controlled short-term momentum,shallow_pullback
STAA,EARLY_STRUCTURAL_MATCH,77.1,88.0,88.0,TOO_EARLY_OR_LOOSE,25.0,daily,log_regression,AT_LOWER,0.15,10,16.2,16.32,daily,34.72,93.42,nearest_support_gap_hi,24.53,True,True,1.88,1.92,43.48,43.48,3.96,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | room back to recent high,deep_damage_pullback | too_early_or_loose_for_trigger
CGNX,EARLY_STRUCTURAL_MATCH,100.0,81.0,81.0,TOO_EARLY_OR_LOOSE,64.4814,daily,log_regression,MID,0.459,25,44.1,56.5,daily,12.38,100.0,nearest_support_gap_hi,62.54,True,True,3.01,3.1,16.16,16.16,3.1,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 16.16% from recent high | room back to recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
JUNS,HIGH_PRIORITY_PRE_TRIGGER,91.2,79.0,79.0,PRE_TRIGGER_COIL,5.24,1h,log_regression,MID,0.34,10,5.031,5.176,15m,1.22,50.96,nearest_support_gap_hi,5.22,True,True,0.38,0.38,658.3,658.3,2.29,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback | overhead_gap_too_close
FLYW,EARLY_STRUCTURAL_MATCH,60.7,72.0,72.0,TOO_EARLY_OR_LOOSE,19.0,daily,log_regression,MID,0.654,23,12.98,13.43,daily,29.32,99.19,nearest_support_gap_hi,18.84,True,True,0.84,0.85,0.0,0.0,15.79,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | coiled/controlled short-term momentum,mid_high_channel_location | not_pulled_back | too_early_or_loose_for_trigger | room_to_high_unknown
