ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
SMTK,Long,PULLBACK,T2-LONG,100,0.2999,0.2276,0.4445,,2.0,0.0723,0.32,6.3,APPROACH,17,6,"10m,15m,1h,1m,30m,5m",0.2999,0.2776,OPEN_ROAD,EXCITED,151755,14.6,5.0,115249354,1,27.2,59,8,20.53,MED,1.69,0.2835,0.287,0.28,-2.4,PREMIUM,PREMIUM,24,9,9,9.7,D,False,0.04633214285714286,1.56,N/A,
RMSG,Long,PULLBACK,T2-LONG,100,1.1,0.9497,1.4006,,2.0,0.1503,1.1,4.5,APPROACH,3,3,"10m,1h,5m",1.05,0.9997,OPEN_ROAD,EXCITED,1369481,9.4,3.1,31103622,1,46.8,68,8,0.36,NANO,91.53,0.8867,0.8905,0.883,-0.8,PREMIUM,PREMIUM,219,11,66,2.7,C,True,0.1607857142857143,0.93,N/A,
DEVS,Long,PULLBACK,T2-LONG,95,0.457,0.3824,0.6062,,2.0,0.0746,0.457,4.1,APPROACH,1,1,1h,0.4384,0.4324,OPEN_ROAD,EXCITED,50013588,0.4,1.6,18285086,3,305.9,60,8,2.32,NANO,8.77,0.6125,0.6651,0.5599,-15.8,DISCOUNT,DISCOUNT,105,12,70,7.4,B,False,0.11067857142857142,0.67,N/A,
HUBC,Long,PULLBACK,T2-LONG,76,0.1874,0.1356,0.291,,2.0,0.0518,0.202,7.2,WAITING,1,1,1m,0.1874,0.1856,OPEN_ROAD,EXCITED,0,0.8,1.8,18035020,3,426.8,68,8,0.0,NANO,66764.9,0.4446,0.6496,0.2396,-63.1,DISCOUNT,DISCOUNT,2,2,0,10.4,D,False,0.18617135714285715,0.28,N/A,
LASE,Long,PULLBACK,T1-STRONG_LONG,100,3.355,3.0175,4.03,,2.0,0.3375,3.62,7.3,WAITING,5,5,"10m,15m,1h,4h,5m",3.355,3.13,HIGHWAY,EXCITED,548262178,2.3,6.5,4979367,3,405.2,68,8,25.98,MED,2.62,2.9575,3.13,2.785,-11.0,PREMIUM,PREMIUM,592,21,131,99.9,A,True,0.38318571428571435,0.88,N/A,
RDW,Long,PULLBACK,T1-STRONG_LONG,100,19.3,18.0614,21.7772,,2.0,1.2386,21.43,9.9,WAITING,4,4,"10m,15m,30m,5m",19.3,18.62,OPEN_ROAD,EXCITED,1186368869,1.3,0.9,2427517,0,35.7,54,8,195.23,HIGH,0.38,18.96,18.62,19.3,3.7,PREMIUM,MID,2289,10,1077,5.5,B,False,2.9174642857142854,0.42,N/A,
MEHA,Long,PULLBACK,T3-LONG_WATCH,52,0.081,0.0292,0.1846,,2.0,0.0518,0.0876,7.5,WAITING,2,1,1m,0.081,0.0792,OPEN_ROAD,EXCITED,0,0.3,0.5,1373576,0,50.2,23,8,40.9,MED,0.78,0.0683,0.0683,0.0682,-0.1,FLAT,FLAT,0,6,0,3.5,D,False,0.019435642857142853,2.67,N/A,
PMI,Long,PULLBACK,T3-LONG_WATCH,66,0.2903,0.2359,0.3991,,2.0,0.0544,0.3195,9.1,WAITING,2,1,1m,0.2903,0.2859,OPEN_ROAD,EXCITED,0,0.7,4.8,2685528,2,187.1,47,8,39.51,MED,1.48,0.2748,0.3076,0.242,-21.3,PREMIUM,PREMIUM,33,7,0,4.7,C,False,0.05704285714285715,0.95,N/A,
FOXX,Long,PULLBACK,T3-LONG_WATCH,100,4.94,2.48,9.86,,2.0,2.46,5.25,5.9,APPROACH,1,1,1d,4.94,3.3,OPEN_ROAD,EXCITED,12131392464,16.6,6.6,1045150,2,254.3,25,8,0.96,NANO,76.89,3.97,2.86,5.08,77.6,PREMIUM,MID,662,8,580,12.5,A,True,0.898057142857143,2.74,N/A,
CERS,Long,BOUNCE,T2-LONG,96,2.79,2.5891,3.1918,,2.0,0.2009,2.79,0.7,CLOSE,3,3,"1h,4h,5m",2.77,2.6692,OPEN_ROAD,EXCITED,16053318,1.3,1.1,0,0,19.5,33,8,182.21,HIGH,0.02,2.68,2.66,2.7,1.5,PREMIUM,PREMIUM,120,9,54,5.6,B,True,0.1810928571428571,1.11,N/A,
