dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,584,246,333,5,42.12,27.18,15875.23,-100.56
scanner,short,225,91,133,1,40.44,22.15,4983.46,-100.68
scanner,abook,771,223,463,85,28.92,0.94,725.97,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,IN_BAND,441,149,237,55,33.79,14.52,6401.3,-102.19
gap_tier,EXTREME,135,64,66,5,47.41,45.14,6094.23,-100.55
gap_tier,PARABOLIC,228,96,131,1,42.11,26.68,6081.92,-100.56
gap_tier,(none),594,177,360,57,29.8,1.63,965.67,-100.64
gap_tier,NONE,127,31,71,25,24.41,-0.43,-54.46,-100.95
gap_tier,STRETCHED,205,57,129,19,27.8,-6.67,-1367.14,-100.68
regime,FAVORABLE,1170,378,652,140,32.31,10.87,12722.83,-100.95
regime,CHOP,155,58,87,10,37.42,20.63,3198.29,-100.39
regime,HOSTILE,402,138,252,12,34.33,6.22,2500.15,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1579,560,928,91,35.47,13.73,21683.62,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1460,480,836,144,32.88,10.2,14898.71,-102.19
side,SHORT,270,94,158,18,34.81,11.94,3222.81,-100.68
setup,MOO_GENESIS,584,246,333,5,42.12,27.18,15875.23,-100.56
setup,SHORT_GENESIS_9_33,225,91,133,1,40.44,22.15,4983.46,-100.68
setup,MOO,770,223,462,85,28.96,1.07,824.93,-102.19
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1546,506,907,133,32.73,8.29,12809.04,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,947,317,529,101,33.47,13.42,12706.63,-100.03
cohort,PENNY,783,257,465,61,32.82,6.92,5414.89,-102.19
conviction_band,(none),1730,574,994,162,33.18,10.47,18121.52,-102.19
regime_x_scanner,FAVORABLE | momentum,385,156,226,3,40.52,22.3,8584.12,-100.46
regime_x_scanner,HOSTILE | momentum,151,68,81,2,45.03,36.38,5492.77,-100.56
regime_x_scanner,FAVORABLE | abook,492,147,274,71,29.88,8.13,3997.52,-100.95
regime_x_scanner,FAVORABLE | short,149,61,87,1,40.94,24.12,3593.79,-100.63
regime_x_scanner,CHOP | momentum,48,22,26,0,45.83,37.47,1798.34,-100.39
regime_x_scanner,CHOP | abook,91,31,56,4,34.07,10.0,910.45,-100.19
regime_x_scanner,HOSTILE | short,66,25,41,0,37.88,13.48,889.63,-100.68
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,185,45,130,10,24.32,-20.99,-3882.25,-102.19
