ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
ALLO,Long,T1-STRONG_LONG,90,BREAKOUT,3.55,2.72,5.21,2.27,3.08,2.24,248197323.0,-36.06,STOPPED,-1.0,False,2026-04-14_1442,2026-04-14_0646
POET,Long,T1-STRONG_LONG,100,PULLBACK,7.125,7.03,7.69,6.67,7.61,6.57,0.0,-6.39,STOPPED,-1.0,True,2026-04-14_1442,2026-04-14_0646
LUNR,Long,T1-STRONG_LONG,100,BREAKOUT,25.58,24.41,27.92,23.65,26.24,22.93,1799441485.0,-7.54,STOPPED,-1.0,False,2026-04-14_1442,2026-04-14_0646
LWLG,Long,T1-STRONG_LONG,100,PULLBACK,10.84,10.62,11.8,12.05,12.3599,10.55,1339075084.0,11.16,STOPPED,-1.0,False,2026-04-14_1442,2026-04-14_0646
NAK,Long,T1-STRONG_LONG,93,PULLBACK,1.77,1.72,1.9601,1.8999,1.95,1.86,0.0,7.34,NO_FILL,0.0,False,2026-04-14_1442,2026-04-14_0646
LAC,Long,T2-LONG,71,PULLBACK,4.23,4.22,4.65,4.43,4.5,4.38,0.0,4.73,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
IDYA,Long,T1-STRONG_LONG,100,BREAKOUT,34.5,30.52,42.46,31.98,33.69,30.71,0.0,-7.3,LOSING,-0.63,False,2026-04-14_1442,2026-04-14_0646
ASPI,Long,T1-STRONG_LONG,92,PULLBACK,4.85,4.84,7.05,5.0682,5.38,4.715,0.0,4.5,STOPPED,-1.0,True,2026-04-14_1442,2026-04-14_0646
NUAI,Long,T3-LONG_WATCH,61,PULLBACK,4.35,4.3405,4.95,4.311,4.7,4.135,1847651699.0,-0.9,STOPPED,-1.0,True,2026-04-14_1442,2026-04-14_0646
SGI,Long,T3-LONG_WATCH,51,PULLBACK,76.5,73.92,84.44,82.2,84.31,79.37,1070848696.0,7.45,NO_FILL,0.0,False,2026-04-14_1442,2026-04-14_0646
TGB,Long,T2-LONG,76,PULLBACK,7.12,6.77,8.05,7.64,7.87,7.39,305987571.0,7.3,NO_FILL,0.0,False,2026-04-14_1442,2026-04-14_0646
VST,Long,T3-LONG_WATCH,59,BREAKOUT,161.49,158.2,168.07,164.43,165.28,160.34,0.0,1.82,WINNING,0.89,False,2026-04-14_1442,2026-04-14_0646
SPIR,Long,T1-STRONG_LONG,100,PULLBACK,18.85,17.92,22.54,20.6,23.15,19.5,0.0,9.28,NO_FILL,0.0,False,2026-04-14_1442,2026-04-14_0646
FIGR,Long,T2-LONG,56,PULLBACK,32.74,31.78,37.0,35.24,36.98,34.89,0.0,7.64,NO_FILL,0.0,False,2026-04-14_1442,2026-04-14_0646
LPTH,Long,T2-LONG,77,PULLBACK,13.67,13.405,14.6,14.25,15.16,13.865,2037335597.0,4.24,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
FORM,Long,T3-LONG_WATCH,70,PULLBACK,118.4,117.78,143.08,128.49,133.97,127.11,1211447307.0,8.52,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
NB,Long,T1-STRONG_LONG,100,PULLBACK,4.98,4.88,5.41,5.0218,5.29,4.965,0.0,0.84,WINNING,0.42,False,2026-04-14_1442,2026-04-14_0646
TNGX,Long,T1-STRONG_LONG,100,PULLBACK,20.34,19.96,23.36,24.0097,24.08,21.58,637924155.0,18.04,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
AMKR,Long,T1-STRONG_LONG,100,PULLBACK,56.2,55.14,68.22,61.34,62.6,60.7,0.0,9.15,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
SGHC,Long,T2-LONG,69,PULLBACK,10.34,10.3,11.44,10.96,11.15,10.82,1630929691.0,6.0,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
VSH,Long,T1-STRONG_LONG,100,PULLBACK,21.75,21.56,24.86,23.05,23.67,22.99,606332444.0,5.98,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
ALB,Long,T1-STRONG_LONG,97,PULLBACK,175.25,173.64,193.35,189.75,190.97,184.74,870046923.0,8.27,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
CLS,Long,T1-STRONG_LONG,100,PULLBACK,335.37,328.58,415.42,385.0,392.12,368.09,658351995.0,14.8,NO_FILL,0.0,False,2026-04-14_1442,2026-04-14_0646
SQM,Long,T1-STRONG_LONG,100,PULLBACK,82.9,82.25,94.39,89.3,90.5,87.3,0.0,7.72,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
VSTM,Long,T2-LONG,87,PULLBACK,5.43,5.36,6.36,6.15,6.14,5.67,795942249.0,13.26,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
DLO,Long,T2-LONG,91,PULLBACK,12.99,12.95,13.95,13.57,13.99,13.43,0.0,4.46,NO_FILL,0.0,True,2026-04-14_1442,2026-04-14_0646
XNDU,Long,T1-STRONG_LONG,100,PULLBACK,12.55,11.49,15.25,14.68,16.3,12.29,0.0,16.97,TARGET_HIT,2.55,False,2026-04-14_1442,2026-04-14_0646
