ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
CODX,Long,T3-LONG_WATCH,100,PULLBACK,4.595,4.4426,5.06,9.11,10.8,6.3311,50286772,98.26,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
ORBS,Long,T3-LONG_WATCH,52,BOUNCE,0.9447,0.86,1.1141,1.03,1.21,1.01,46806714,9.03,NO_FILL,0.0,False,2026-05-26_1322,2026-05-26_0518
RDW,Long,T3-LONG_WATCH,74,PULLBACK,17.49,15.1325,22.205,22.04,23.1,19.2,104415953,26.01,STOPPED,-1.0,True,2026-05-26_1322,2026-05-26_0518
BIYA,Long,T3-LONG_WATCH,96,BREAKOUT,1.3,1.24,1.51,1.65,2.0,1.61,15782830,26.92,TARGET_HIT,0.97,True,2026-05-26_1322,2026-05-26_0518
FEMY,Long,T2-LONG,100,BOUNCE,0.438,0.3722,0.5696,0.41,0.528,0.376,11764865,-6.39,TARGET_HIT,0.23,True,2026-05-26_1322,2026-05-26_0518
BB,Long,T3-LONG_WATCH,82,PULLBACK,7.17,6.495,8.52,8.42,8.6,7.98,58098199,17.43,STOPPED,-1.0,True,2026-05-26_1322,2026-05-26_0518
NVTS,Long,T3-LONG_WATCH,84,PULLBACK,27.12,23.34,34.68,31.79,33.82,30.6,49648052,17.22,STOPPED,-1.0,True,2026-05-26_1322,2026-05-26_0518
KEEL,Long,T1-STRONG_LONG,100,BOUNCE,4.81,4.4911,5.4478,5.13,5.33,5.0,45296593,6.65,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
POET,Long,T2-LONG,78,PULLBACK,13.72,12.7264,15.7072,13.35,15.075,13.11,45604787,-2.7,LOSING,-0.37,False,2026-05-26_1322,2026-05-26_0518
BMNR,Long,T2-LONG,54,BOUNCE,18.88,18.0711,20.4978,19.2,20.05,19.025,32136405,1.69,NO_FILL,0.0,False,2026-05-26_1322,2026-05-26_0518
INFQ,Long,T1-STRONG_LONG,100,BOUNCE,16.35,14.1,20.85,15.88,16.65,14.93,33225073,-2.87,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
NOK,Long,T1-STRONG_LONG,82,PULLBACK,14.575,13.774,16.177,16.46,16.625,15.66,184576635,12.93,STOPPED,-1.0,True,2026-05-26_1322,2026-05-26_0518
INTC,Long,T2-LONG,69,PULLBACK,119.84,109.6778,140.1644,123.52,125.62,117.35,107070623,3.07,STOPPED,-1.0,True,2026-05-26_1322,2026-05-26_0518
NVDA,Long,T2-LONG,89,BOUNCE,215.33,205.9213,234.1474,214.86,218.18,212.0,182323273,-0.22,LOSING,-0.05,False,2026-05-26_1322,2026-05-26_0518
QBTS,Long,T1-STRONG_LONG,100,BREAKOUT,29.44,28.4889,31.3422,27.82,29.48,26.3301,54173391,-5.5,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
RGTI,Long,T3-LONG_WATCH,89,PULLBACK,26.42,21.48,36.3,25.065,26.57,23.72,88036862,-5.13,LOSING,-0.27,False,2026-05-26_1322,2026-05-26_0518
GDC,Long,T2-LONG,100,BOUNCE,0.109,0.054,0.219,0.111,0.1289,0.104,69907653,1.83,TARGET_HIT,0.06,True,2026-05-26_1322,2026-05-26_0518
TDIC,Long,T2-LONG,46,BOUNCE,0.437,0.3731,0.5648,0.4961,0.6155,0.38,28759524,13.52,TARGET_HIT,2.0,False,2026-05-26_1322,2026-05-26_0518
QUBT,Long,T1-STRONG_LONG,100,PULLBACK,11.61,11.1017,15.09,11.68,12.53,11.265,33690094,0.6,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
SIVEF,Long,T1-STRONG_LONG,100,BOUNCE,7.42,5.844,10.572,9.4,9.54,8.6,11350784,26.68,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
BWA,Long,T1-STRONG_LONG,100,BOUNCE,65.82,61.6435,74.173,68.26,68.4,66.35,3060640,3.71,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
UTI,Long,T1-STRONG_LONG,100,BOUNCE,40.06,35.26,49.66,39.97,41.37,38.455,9674838,-0.22,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
MEC,Long,T1-STRONG_LONG,100,BOUNCE,25.45,23.2121,29.9258,26.65,26.69,25.31,469941,4.72,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
IREN,Long,T3-LONG_WATCH,43,PULLBACK,56.83,51.6327,67.2246,59.78,61.49,58.61,40430504,5.19,NO_FILL,0.0,False,2026-05-26_1322,2026-05-26_0518
TE,Long,T3-LONG_WATCH,93,BOUNCE,8.08,6.4025,11.435,10.45,10.8,8.48,70574492,29.33,TARGET_HIT,1.5,True,2026-05-26_1322,2026-05-26_0518
